week_year,district,week,year,avg_temp,rainfall,humidity,disease_raw,cases
09_2009,Sabarkantha,9,2009,25.51,0.0,39.86,HEPATITIS_A,148.0
09_2009,Malappuram,9,2009,29.14,0.5,69.71,HEPATITIS_A,148.0
09_2009,Nashik,9,2009,26.46,0.0,38.14,DENGUE,17.0
09_2009,Goalpara,9,2009,23.4,0.3,48.57,MEASLES,1.0
10_2009,Nawada,10,2009,25.29,0.0,39.14,MEASLES,1.0
10_2009,Anand,10,2009,26.25,0.0,39.86,CHOLERA,23.0
10_2009,Godda,10,2009,24.61,0.0,41.43,MEASLES,1.0
10_2009,Dharwad,10,2009,27.91,0.0,45.71,CHIKUNGUNYA,17.0
10_2009,Udupi,10,2009,28.46,1.3,75.86,CHICKENPOX,17.0
10_2009,Haveri,10,2009,28.48,0.0,48.71,CHICKENPOX,17.0
10_2009,Gadchiroli,10,2009,30.16,0.0,25.0,FOOD_POISONING,2.0
10_2009,Lunglei,10,2009,23.68,1.5,60.43,SCRUB_TYPHUS,17.0
10_2009,Puducherry,10,2009,27.3,0.0,73.29,SCRUB_TYPHUS,17.0
11_2009,Nalanda,11,2009,25.29,0.0,36.86,CHICKENPOX,17.0
11_2009,East,11,2009,23.83,9.8,59.57,FOOD_POISONING,2.0
11_2009,East,11,2009,23.83,9.8,59.57,MEASLES,1.0
11_2009,Bolangir,11,2009,29.44,0.0,29.29,CHICKENPOX,17.0
11_2009,Alwar,11,2009,23.77,0.0,34.43,MEASLES,1.0
12_2009,Katihar,12,2009,26.47,0.9,48.86,CHICKENPOX,17.0
12_2009,Madhubani,12,2009,26.4,2.6,38.71,MEASLES,1.0
12_2009,Haveli,12,2009,27.65,0.0,37.57,CHICKENPOX,17.0
12_2009,Porbandar,12,2009,25.34,0.0,75.29,FOOD_POISONING,2.0
12_2009,Belagavi,12,2009,28.26,0.0,42.14,FOOD_POISONING,2.0
12_2009,Davangere,12,2009,27.84,0.3,53.43,CHICKENPOX,17.0
12_2009,Ahmednagar,12,2009,25.59,0.0,30.43,FOOD_POISONING,2.0
13_2009,Madhubani,13,2009,26.36,0.7,45.14,MEASLES,1.0
13_2009,Nawada,13,2009,27.68,1.0,39.0,MEASLES,1.0
13_2009,Sabarkantha,13,2009,26.97,0.0,37.71,HEPATITIS_A,148.0
13_2009,Dakshina,13,2009,28.03,43.3,79.43,MEASLES,1.0
13_2009,Aizwal,13,2009,24.02,6.3,65.14,SCRUB_TYPHUS,17.0
13_2009,Serchhip,13,2009,20.12,5.7,60.14,SCRUB_TYPHUS,17.0
14_2009,Nawada,14,2009,29.64,0.0,32.0,CHICKENPOX,17.0
14_2009,Nawada,14,2009,29.64,0.0,32.0,MEASLES,1.0
14_2009,Narmada,14,2009,31.01,0.0,26.29,MALARIA,19.0
14_2009,Trivandrum,14,2009,27.16,1.1,80.57,CHOLERA,23.0
14_2009,Malappuram,14,2009,29.09,5.7,73.43,FOOD_POISONING,2.0
14_2009,Bidar,14,2009,30.49,0.0,31.14,CHOLERA,23.0
14_2009,Davangere,14,2009,29.49,0.0,49.29,CHIKUNGUNYA,17.0
14_2009,Bolangir,14,2009,33.01,0.0,24.71,FOOD_POISONING,2.0
15_2009,Dausa,15,2009,26.84,0.5,30.86,FOOD_POISONING,2.0
15_2009,Ariyalur,15,2009,28.73,17.0,77.14,FOOD_POISONING,2.0
15_2009,Ariyallur,15,2009,29.38,18.5,76.0,DENGUE,17.0
15_2009,Kishtwar,15,2009,8.76,79.9,63.43,HEPATITIS_A,148.0
15_2009,Tumkur,15,2009,28.44,0.0,40.0,MEASLES,1.0
15_2009,Jalna,15,2009,29.73,0.0,25.43,DENGUE,17.0
15_2009,Nashik,15,2009,28.44,0.0,30.71,MEASLES,1.0
16_2009,Haveli,16,2009,31.76,0.0,34.29,CHICKENPOX,17.0
16_2009,Madhubani,16,2009,32.51,0.2,32.29,CHICKENPOX,17.0
16_2009,Mahesana,16,2009,30.71,0.0,26.0,CHICKENPOX,17.0
16_2009,Sabarkantha,16,2009,30.17,0.0,23.43,MEASLES,1.0
16_2009,Sabarkantha,16,2009,30.17,0.0,23.43,FOOD_POISONING,2.0
16_2009,Tumkur,16,2009,28.95,3.8,48.86,CHICKENPOX,17.0
17_2009,Wayand,17,2009,24.93,51.3,90.43,MEASLES,1.0
17_2009,Thane,17,2009,30.12,0.0,63.14,DENGUE,17.0
17_2009,Angul,17,2009,33.79,0.0,35.29,FOOD_POISONING,2.0
17_2009,Dhenkanal,17,2009,34.61,0.0,51.14,FOOD_POISONING,2.0
17_2009,Ludhiana,17,2009,29.39,0.4,19.86,MEASLES,1.0
17_2009,Jashpur,17,2009,32.01,0.0,13.57,FOOD_POISONING,2.0
18_2009,Raigarh,18,2009,35.47,0.0,15.29,CHOLERA,23.0
18_2009,Patan,18,2009,33.96,0.0,24.14,MEASLES,1.0
18_2009,Vadodara,18,2009,32.94,0.0,37.14,FOOD_POISONING,2.0
18_2009,Tumkur,18,2009,28.35,11.4,56.71,INFLUENZA,17.0
18_2009,Bhandara,18,2009,34.61,0.0,16.71,FOOD_POISONING,2.0
18_2009,Puducherry,18,2009,30.2,0.6,78.0,CHICKENPOX,17.0
19_2009,Buxar,19,2009,34.06,0.0,26.71,MEASLES,1.0
19_2009,Madhubani,19,2009,32.68,2.5,40.14,MEASLES,1.0
19_2009,Nalanda,19,2009,34.26,0.9,27.86,CHICKENPOX,17.0
19_2009,Kollam,19,2009,28.88,37.8,77.57,INFLUENZA,17.0
19_2009,Tumkur,19,2009,28.13,8.6,61.86,INFLUENZA,17.0
19_2009,Davangere,19,2009,30.05,1.8,58.14,CHICKENPOX,17.0
20_2009,Balasore,20,2009,30.74,31.3,77.71,CHICKENPOX,17.0
20_2009,Alwar,20,2009,32.88,4.1,41.14,MEASLES,1.0
20_2009,Nagaon,20,2009,26.41,55.9,80.86,CHICKENPOX,17.0
20_2009,Muzaffarpur,20,2009,28.7,59.6,66.71,CHICKENPOX,17.0
21_2009,Gopalganj,21,2009,30.79,12.9,65.29,CHICKENPOX,17.0
21_2009,Janjgir,21,2009,35.16,2.3,40.29,FOOD_POISONING,2.0
21_2009,Kheda,21,2009,33.81,0.0,51.57,FOOD_POISONING,2.0
21_2009,Bagalkot,21,2009,29.56,49.9,65.0,CHICKENPOX,17.0
21_2009,Bangalore,21,2009,25.09,120.5,82.57,CHICKENPOX,17.0
21_2009,Tumkur,21,2009,26.37,68.2,79.0,MEASLES,1.0
21_2009,Puducherry,21,2009,29.96,30.3,75.43,CHICKENPOX,17.0
22_2009,Katihar,22,2009,27.12,182.6,85.43,CHICKENPOX,17.0
22_2009,Madhubani,22,2009,27.46,104.3,81.29,CHICKENPOX,17.0
22_2009,Muzaffarpur,22,2009,28.4,70.7,77.43,CHICKENPOX,17.0
22_2009,Siwan,22,2009,30.13,58.2,69.29,CHICKENPOX,17.0
22_2009,Rajkot,22,2009,32.56,0.0,57.29,MEASLES,1.0
22_2009,Dakshina,22,2009,27.01,65.2,87.14,TYPHOID,17.0
22_2009,Davangere,22,2009,27.36,15.1,70.57,CHICKENPOX,17.0
22_2009,Tumkur,22,2009,26.15,30.8,73.43,DENGUE,17.0
22_2009,Tumkur,22,2009,26.15,30.8,73.43,MEASLES,1.0
23_2009,Puri,23,2009,31.55,14.4,74.86,CHICKENPOX,17.0
23_2009,Raigarh,23,2009,34.19,1.5,42.57,FOOD_POISONING,2.0
23_2009,Mewat,23,2009,35.27,5.2,35.71,MEASLES,1.0
23_2009,Dharwad,23,2009,25.47,78.4,80.86,FOOD_POISONING,2.0
23_2009,Tumkur,23,2009,24.88,20.9,75.71,FOOD_POISONING,2.0
23_2009,Tumkur,23,2009,24.88,20.9,75.71,,17.0
23_2009,Shimoga,23,2009,23.82,91.6,89.57,CHOLERA,23.0
24_2009,Bishnupur,24,2009,32.24,0.3,70.0,HEPATITIS_A,148.0
24_2009,East,24,2009,24.01,35.0,77.71,FOOD_POISONING,2.0
24_2009,Puducherry,24,2009,30.27,16.7,71.14,CHICKENPOX,17.0
25_2009,Madhubani,25,2009,32.44,0.1,64.86,MEASLES,1.0
25_2009,Nawada,25,2009,35.38,0.0,30.57,MEASLES,1.0
25_2009,Janjgir,25,2009,35.99,0.7,31.0,CHICKENPOX,17.0
25_2009,East,25,2009,23.52,24.7,80.0,MEASLES,1.0
25_2009,Trivandrum,25,2009,25.69,72.0,88.43,CHICKENPOX,17.0
25_2009,Kannur,25,2009,25.81,135.6,89.43,DENGUE,17.0
26_2009,Sindhudurg,26,2009,25.33,96.3,92.86,MALARIA,19.0
26_2009,Puducherry,26,2009,30.36,7.9,68.71,SCRUB_TYPHUS,17.0
26_2009,Nagaur,26,2009,34.66,0.3,44.43,MEASLES,1.0
26_2009,Muzaffarpur,26,2009,32.44,56.6,68.57,CHICKENPOX,17.0
26_2009,Baster,26,2009,29.25,45.2,68.86,FOOD_POISONING,2.0
26_2009,Chitradurga,26,2009,25.53,9.7,76.14,,17.0
26_2009,Dharwad,26,2009,24.29,22.5,85.0,CHICKENPOX,17.0
27_2009,Dharwad,27,2009,23.06,110.9,92.0,MEASLES,1.0
27_2009,Gadag,27,2009,24.23,30.5,86.86,CHICKENPOX,17.0
27_2009,Mysuru,27,2009,22.95,76.1,85.57,CHICKENPOX,17.0
27_2009,Tumkur,27,2009,23.88,77.9,82.86,CHICKENPOX,17.0
27_2009,Tumkur,27,2009,23.88,77.9,82.86,MEASLES,1.0
27_2009,Keonjhar,27,2009,26.26,69.3,90.29,FOOD_POISONING,2.0
27_2009,Fatehgarh,27,2009,31.26,26.9,69.86,,17.0
28_2009,Chamarajanagar,28,2009,22.96,76.4,84.43,CHICKENPOX,17.0
28_2009,Lakhimpur,28,2009,27.92,49.1,87.43,CHICKENPOX,17.0
28_2009,Madhubani,28,2009,29.21,26.0,80.57,FOOD_POISONING,2.0
29_2009,Shekhpura,29,2009,30.63,38.2,76.57,CHICKENPOX,17.0
29_2009,Kheda,29,2009,27.41,122.9,88.57,CHICKENPOX,17.0
29_2009,Mahesana,29,2009,27.82,152.8,88.14,MEASLES,1.0
29_2009,Sabarkantha,29,2009,26.9,140.0,90.71,FOOD_POISONING,2.0
29_2009,Bokaro,29,2009,27.7,49.7,84.57,MEASLES,1.0
29_2009,Chitradurga,29,2009,23.39,62.0,84.57,CHICKENPOX,17.0
30_2009,Tumkur,30,2009,23.38,0.3,73.86,CHICKENPOX,17.0
30_2009,Tumkur,30,2009,23.38,0.3,73.86,CHOLERA,23.0
30_2009,Yadgiri,30,2009,26.79,9.0,68.57,CHIKUNGUNYA,17.0
30_2009,Bhilwara,30,2009,26.94,29.2,83.0,MEASLES,1.0
31_2009,Jagityal,31,2009,27.67,0.3,70.0,FOOD_POISONING,2.0
31_2009,Nalanda,31,2009,29.58,69.9,80.57,MEASLES,1.0
31_2009,Nalanda,31,2009,29.58,69.9,80.57,HEPATITIS_A,148.0
31_2009,Nalanda,31,2009,29.58,69.9,80.57,,17.0
31_2009,Panchmahal,31,2009,27.48,6.3,81.0,MEASLES,1.0
31_2009,Simdega,31,2009,27.01,43.9,82.14,MEASLES,1.0
31_2009,Amravati,31,2009,26.67,4.9,76.86,MEASLES,1.0
31_2009,Dhule,31,2009,27.0,1.7,76.29,FOOD_POISONING,2.0
31_2009,Jaintia,31,2009,26.48,40.6,87.29,MEASLES,1.0
32_2009,Sikar,32,2009,31.04,0.0,55.29,MEASLES,1.0
32_2009,Food,32,2009,23.21,1.5,75.14,FOOD_POISONING,2.0
32_2009,Shimoga,32,2009,23.19,19.0,87.86,CHOLERA,23.0
32_2009,Chitradurga,32,2009,25.01,3.0,74.43,MEASLES,1.0
32_2009,Trivandrum,32,2009,25.63,12.5,87.14,FOOD_POISONING,2.0
32_2009,Puducherry,32,2009,30.52,0.0,65.71,SCRUB_TYPHUS,17.0
32_2009,Banka,32,2009,29.77,29.6,81.57,FOOD_POISONING,2.0
33_2009,Nalanda,33,2009,28.99,174.5,87.71,MEASLES,1.0
33_2009,Mahesana,33,2009,27.86,13.3,77.86,CHICKENPOX,17.0
33_2009,Rajkot,33,2009,27.6,3.5,79.29,MEASLES,1.0
33_2009,Kulgam,33,2009,21.18,92.3,80.29,HEPATITIS_A,148.0
33_2009,Bidar,33,2009,26.52,5.7,66.86,,17.0
33_2009,Chitradurga,33,2009,25.29,4.6,74.57,CHICKENPOX,17.0
33_2009,Yadgiri,33,2009,29.31,4.9,54.57,CHICKENPOX,17.0
34_2009,Khurda,34,2009,29.17,21.8,76.86,FOOD_POISONING,2.0
34_2009,Karauli,34,2009,29.32,25.0,70.0,FOOD_POISONING,2.0
34_2009,Kulgam,34,2009,17.26,166.2,78.43,HEPATITIS_A,148.0
35_2009,Akola,35,2009,25.87,122.7,86.57,MEASLES,1.0
35_2009,Nashik,35,2009,23.62,28.7,91.29,MEASLES,1.0
35_2009,Nashik,35,2009,23.62,28.7,91.29,CHICKENPOX,17.0
35_2009,Lakhimpur,35,2009,27.91,51.5,83.57,FOOD_POISONING,2.0
35_2009,Nawada,35,2009,27.84,83.6,86.57,MEASLES,1.0
36_2009,Haveli,36,2009,24.06,208.5,89.29,CHICKENPOX,17.0
36_2009,Bokaro,36,2009,26.83,149.4,88.29,FOOD_POISONING,2.0
36_2009,Tumkur,36,2009,23.03,55.4,85.29,INFLUENZA,17.0
36_2009,Chitradurga,36,2009,23.17,72.5,88.71,CHICKENPOX,17.0
36_2009,Bolangir,36,2009,28.11,58.9,85.0,FOOD_POISONING,2.0
37_2009,Faridkot,37,2009,27.52,5.7,74.86,MEASLES,1.0
37_2009,Puducherry,37,2009,30.19,1.5,70.14,CHICKENPOX,17.0
37_2009,Khammam,37,2009,29.15,3.2,72.14,FOOD_POISONING,2.0
38_2009,Darrang,38,2009,27.97,42.3,88.0,FOOD_POISONING,2.0
38_2009,Madhubani,38,2009,28.73,16.6,85.14,CHICKENPOX,17.0
38_2009,Samastipur,38,2009,29.15,12.7,83.43,CHICKENPOX,17.0
38_2009,Tumkur,38,2009,23.89,81.9,86.71,CHICKENPOX,17.0
38_2009,Malappuram,38,2009,25.56,121.7,90.71,CHOLERA,23.0
38_2009,Palakkad,38,2009,25.66,127.4,93.14,MALARIA,19.0
38_2009,Kollam,38,2009,26.21,87.0,87.71,CHICKENPOX,17.0
39_2009,Bongaigaon,39,2009,27.39,34.5,84.71,FOOD_POISONING,2.0
39_2009,Bharuch,39,2009,30.22,0.0,74.14,FOOD_POISONING,2.0
39_2009,Mahesana,39,2009,28.9,0.0,64.71,MEASLES,1.0
39_2009,Patan,39,2009,30.19,0.0,59.71,FOOD_POISONING,2.0
39_2009,Valsad,39,2009,27.9,3.9,83.43,MEASLES,1.0
39_2009,Bagalkot,39,2009,26.48,37.5,80.57,CHOLERA,23.0
39_2009,Akola,39,2009,29.39,1.3,66.71,MEASLES,1.0
40_2009,Deogarh,40,2009,27.2,60.7,86.29,FOOD_POISONING,2.0
40_2009,Sas,40,2009,28.47,52.6,87.14,CHOLERA,23.0
40_2009,Alwar,40,2009,30.39,2.5,57.0,MEASLES,1.0
40_2009,Dholpur,40,2009,29.14,107.0,71.71,FOOD_POISONING,2.0
40_2009,Dhalai,40,2009,28.06,35.4,89.43,MALARIA,19.0
40_2009,Dhemaji,40,2009,28.89,2.9,75.43,CHICKENPOX,17.0
40_2009,Karimganj,40,2009,29.05,93.5,83.29,CHICKENPOX,17.0
40_2009,Nalanda,40,2009,28.46,27.4,82.43,CHICKENPOX,17.0
41_2009,Nalanda,41,2009,26.91,39.0,84.29,MEASLES,1.0
41_2009,Samastipur,41,2009,26.85,60.1,85.57,CHICKENPOX,17.0
41_2009,Bemetara,41,2009,26.58,19.3,76.43,CHICKENPOX,17.0
41_2009,Janjgir,41,2009,26.59,41.3,78.71,MALARIA,19.0
41_2009,Jamnagar,41,2009,29.19,0.0,69.29,MEASLES,1.0
41_2009,Dhanbad,41,2009,25.74,35.1,82.86,CHICKENPOX,17.0
41_2009,Chitradurga,41,2009,24.01,13.8,79.43,MEASLES,1.0
41_2009,Ahmednagar,41,2009,22.96,7.9,79.71,FOOD_POISONING,2.0
41_2009,Bhandara,41,2009,26.19,8.2,77.0,MEASLES,1.0
41_2009,Bhandara,41,2009,26.19,8.2,77.0,CHICKENPOX,17.0
42_2009,Bhandara,42,2009,26.71,0.2,64.0,MEASLES,1.0
42_2009,Bhandara,42,2009,26.71,0.2,64.0,FOOD_POISONING,2.0
42_2009,Sangli,42,2009,24.18,18.2,74.86,HEPATITIS_A,148.0
42_2009,Jaintia,42,2009,28.21,1.9,80.43,MEASLES,1.0
42_2009,Deogarh,42,2009,24.7,0.4,73.71,,17.0
42_2009,Koraput,42,2009,22.23,0.8,70.14,RABIES,17.0
43_2009,Food,43,2009,22.91,0.0,57.43,FOOD_POISONING,2.0
43_2009,Durg,43,2009,25.51,0.0,58.57,CHICKENPOX,17.0
43_2009,Anand,43,2009,27.91,0.0,31.71,TYPHOID,17.0
43_2009,Surat,43,2009,28.01,0.0,49.14,MEASLES,1.0
43_2009,Nuh,43,2009,25.57,0.0,30.71,MEASLES,1.0
43_2009,Raichur,43,2009,25.81,0.0,55.14,FOOD_POISONING,2.0
44_2009,Akola,44,2009,24.84,0.0,44.0,CHICKENPOX,17.0
44_2009,Tamenglong,44,2009,18.07,0.0,78.86,MEASLES,1.0
44_2009,Jajpur,44,2009,24.78,0.0,67.86,FOOD_POISONING,2.0
44_2009,Nalanda,44,2009,22.87,0.0,61.86,CHICKENPOX,17.0
44_2009,Morbi,44,2009,27.81,0.0,34.14,MEASLES,1.0
44_2009,Rajkot,44,2009,28.61,0.0,31.14,MEASLES,1.0
45_2009,Khurda,45,2009,24.31,0.0,53.57,MEASLES,1.0
45_2009,Tinsukia,45,2009,24.66,0.0,75.29,CHICKENPOX,17.0
45_2009,Chandigarh,45,2009,20.63,0.0,61.86,CHOLERA,23.0
45_2009,Kaithal,45,2009,22.78,0.0,63.29,CHOLERA,23.0
45_2009,Kulgam,45,2009,10.01,3.3,51.86,HEPATITIS_A,148.0
46_2009,Godda,46,2009,25.26,0.1,67.0,FOOD_POISONING,2.0
46_2009,Simdega,46,2009,24.8,2.0,73.0,MEASLES,1.0
46_2009,Udupi,46,2009,26.12,192.3,89.14,DENGUE,17.0
46_2009,Dharwad,46,2009,23.28,47.2,86.29,FOOD_POISONING,2.0
46_2009,Shimoga,46,2009,23.52,82.3,88.14,DENGUE,17.0
46_2009,Ramanagara,46,2009,23.04,38.5,87.0,CHOLERA,23.0
46_2009,Jalgaon,46,2009,24.61,63.2,84.57,CHOLERA,23.0
47_2009,Hoshiarpur,47,2009,16.12,0.2,68.0,CHICKENPOX,17.0
47_2009,Jodhpur,47,2009,20.33,0.0,37.14,HEPATITIS_A,148.0
47_2009,Udaipur,47,2009,21.14,0.0,47.29,CHOLERA,23.0
47_2009,Pauri,47,2009,11.39,4.5,67.43,HEPATITIS_A,148.0
48_2009,Darrang,48,2009,21.55,0.0,73.0,MEASLES,1.0
48_2009,Darrang,48,2009,21.55,0.0,73.0,CHICKENPOX,17.0
48_2009,Kamrup,48,2009,21.53,0.0,72.0,MEASLES,1.0
48_2009,Vaishali,48,2009,20.49,0.0,59.71,CHICKENPOX,17.0
48_2009,Raigarh,48,2009,18.69,0.0,59.29,FOOD_POISONING,2.0
48_2009,Udupi,48,2009,26.76,7.2,82.29,DENGUE,17.0
49_2009,Pune,49,2009,22.04,0.0,62.71,CHIKUNGUNYA,17.0
49_2009,Pune,49,2009,22.04,0.0,62.71,DENGUE,17.0
49_2009,Mayurbhanj,49,2009,18.66,0.0,68.0,CHOLERA,23.0
50_2009,Mahesana,50,2009,21.34,0.0,56.71,MEASLES,1.0
50_2009,Patan,50,2009,21.69,0.0,52.86,HEPATITIS_A,148.0
50_2009,Yadgiri,50,2009,24.4,0.0,51.71,FOOD_POISONING,2.0
50_2009,Nagpur,50,2009,22.97,0.0,59.71,MALARIA,19.0
50_2009,Washim,50,2009,23.46,0.0,55.14,MEASLES,1.0
50_2009,Khurda,50,2009,20.81,0.0,68.57,MEASLES,1.0
50_2009,Jamui,50,2009,18.9,0.0,65.71,MEASLES,1.0
51_2009,Jamui,51,2009,20.12,0.9,68.57,CHICKENPOX,17.0
51_2009,Katihar,51,2009,19.76,0.0,71.86,MEASLES,1.0
51_2009,Nalanda,51,2009,20.44,0.0,67.43,CHICKENPOX,17.0
51_2009,Vaishali,51,2009,20.46,0.0,66.14,CHICKENPOX,17.0
51_2009,Janjgir,51,2009,21.96,1.5,65.71,MEASLES,1.0
51_2009,Pakur,51,2009,19.96,2.6,72.57,MEASLES,1.0
51_2009,Tumkur,51,2009,22.04,11.1,75.86,CHICKENPOX,17.0
52_2009,Osmanabad,52,2009,22.12,0.0,44.0,CHICKENPOX,17.0
52_2009,Koraput,52,2009,17.05,0.0,63.29,,17.0
01_2010,Banaskantha,1,2010,19.94,2.1,49.86,CHOLERA,23.0
01_2010,Valsad,1,2010,23.24,0.0,54.86,MEASLES,1.0
01_2010,East,1,2010,20.89,4.9,75.86,MALARIA,19.0
01_2010,Godda,1,2010,15.36,1.0,66.0,MEASLES,1.0
01_2010,Tumkur,1,2010,21.96,9.9,73.86,CHICKENPOX,17.0
01_2010,Gadag,1,2010,23.14,18.0,75.71,TYPHOID,17.0
01_2010,Shimoga,1,2010,23.32,30.9,81.0,INFLUENZA,17.0
01_2010,Peren,1,2010,11.74,0.0,78.57,MEASLES,1.0
01_2010,Bathinda,1,2010,14.54,2.7,68.0,MEASLES,1.0
01_2010,Faridkot,1,2010,14.33,1.4,70.14,MEASLES,1.0
02_2010,Dibrugarh,2,2010,17.55,0.0,79.86,HEPATITIS_A,148.0
02_2010,Jahanabad,2,2010,16.64,0.0,59.86,CHICKENPOX,17.0
03_2010,Nashik,3,2010,21.35,0.0,61.43,DENGUE,17.0
03_2010,Biswanath,3,2010,17.43,0.0,79.29,CHICKENPOX,17.0
03_2010,Dhemaji,3,2010,17.12,0.0,82.57,CHIKUNGUNYA,17.0
03_2010,Jorhat,3,2010,17.52,0.0,81.29,HEPATITIS_A,148.0
03_2010,Tinsukia,3,2010,18.29,0.0,76.43,,17.0
04_2010,Anand,4,2010,22.24,0.0,42.0,HEPATITIS_A,148.0
04_2010,Panch,4,2010,21.57,0.0,37.86,HEPATITIS_A,148.0
04_2010,Vadodara,4,2010,22.91,0.0,41.43,CHOLERA,23.0
04_2010,Kaithal,4,2010,13.23,0.0,90.29,CHOLERA,23.0
04_2010,Dharmsala,4,2010,9.19,1.1,66.86,MEASLES,1.0
04_2010,Kangra,4,2010,12.24,0.0,58.43,MEASLES,1.0
04_2010,Kupwara,4,2010,2.59,4.8,57.43,CHICKENPOX,17.0
04_2010,Latehar,4,2010,15.77,0.0,64.29,MALARIA,19.0
04_2010,Yadgir,4,2010,22.35,0.4,54.57,FOOD_POISONING,2.0
